"Story","Title","Result","Date","Stability","Duration (s)"
"Get country capital","Assignment2","SUCCESS","2021-03-05T20:38:01.821+05:30[Asia/Calcutta]","0.0","1.36"
"Get country response","Get country info","SUCCESS","2021-03-05T20:38:03.274+05:30[Asia/Calcutta]","0.0","1.19"
"Post user registration","Register new member","SUCCESS","2021-03-05T20:38:05.738+05:30[Asia/Calcutta]","0.0","0.97"
"Post user registration","User exists already","SUCCESS","2021-03-06T13:08:58.116+05:30[Asia/Calcutta]","0.0","0.38"
"Authentication request","In valid valid user authentication","SUCCESS","2021-03-06T13:21:30.832+05:30[Asia/Calcutta]","0.0","6.68"
"Authentication request","Valid user authentication","SUCCESS","2021-03-06T13:21:37.553+05:30[Asia/Calcutta]","0.0","1.29"
"Get country capital","Verify country capital","SUCCESS","2021-03-06T13:21:40.228+05:30[Asia/Calcutta]","0.0","0.9"
"Get country response","Get country response","SUCCESS","2021-03-06T13:21:41.194+05:30[Asia/Calcutta]","0.0","0.36"
"Get country response","Get country error not found","SUCCESS","2021-03-06T13:21:41.56+05:30[Asia/Calcutta]","0.0","0.82"
"Post user registration","Register user","SUCCESS","2021-03-06T13:21:42.447+05:30[Asia/Calcutta]","0.0","0.69"
